Collection ID: companies | Name: Companies | Total Docs: 1
Collection ID: ledgers | Name: Ledgers | Total Docs: 14
Collection ID: vouchers | Name: Vouchers | Total Docs: 0
Collection ID: stock_items | Name: stock_items | Total Docs: 10
Collection ID: voucher_ledger_entries | Name: voucher_ledger_entries | Total Docs: 23
Collection ID: voucher_stock_entries | Name: voucher_stock_entries | Total Docs: 11
Collection ID: sales | Name: sales | Total Docs: 11
Collection ID: purchases | Name: purchases | Total Docs: 0
Collection ID: ledger_groups | Name: ledger_groups | Total Docs: 0
Collection ID: cost_centres | Name: cost_centres | Total Docs: 0
Collection ID: stock_groups | Name: stock_groups | Total Docs: 0
Collection ID: stock_categories | Name: stock_categories | Total Docs: 0
Collection ID: voucher_types | Name: voucher_types | Total Docs: 0
Collection ID: price_lists | Name: price_lists | Total Docs: 0
Collection ID: rest | Name: rest | Total Docs: 0
Collection ID: sync_history | Name: sync_history | Total Docs: 8
Collection ID: sales_items | Name: sales_items | Total Docs: 14
Collection ID: pending_transactions | Name: pending_transactions | Total Docs: 0
